id,comment
Ugzyg121_erOAa5xJtN4AaABAg,"Fun fact South Korea was a dictatorship until the 80s, the dictators daughter led it only a few years ago and a tinfoil hat tier feminist cabal theory mocked for years was proven true in the mainstream media. She was a puppet of Hillary Clinton types."
Ugz1loO6gTdjjfvvVXx4AaABAg,Because you used biological warfare on them and they need to spend all their food money on nukes so you don't do it again.
UgyswbDs1uqHn-_Q1614AaABAg,I don't blame North Korea for not forgetting the evil committed by the west I know I would be looking for revenge as soon as my mother gave me life
Ugzj4hkCg2OI0Mg98w14AaABAg,Johnny knows about the military industrial complex. Mainstream Media will NEVER give you adequate perspective they are only there to push your emotions into a mould.
UgwCa1fOCN1lGAoKQJl4AaABAg,Any plans to make the same theme video for INDIA??
Ugwo95ska30lcECuSbt4AaABAg,The US targeted anything that moves ...... dams.
Ugw35P1mcnz9vs24BWR4AaABAg,"To think that the Americans are a benign power is dumb af! The Americans by the time they involved in Korea had already invaded Haiti, Cuba, Phillipines, Puerto Rico Hawaii and killed thousands in those places to maintain their empire! People of color were not even allowed to own land in America at that time in certain places! Let's not forget America bombed the shit out of Korea! Sk was a dictatorship until 1980s way more brutal than nk!"
UgxWCHbAkvE-6ouICiN4AaABAg,one day I wish they both countries unite together and live as one
Ugxz025nKoCTUhZa5Hd4AaABAg,Too many fucking ads
UgzK2t64ymOtrY59ked4AaABAg,"Intentional or unintentional, this content is still biased. You are still white and an American, you won't understand their perspective. 
US systematically suppressed North Korea through endless sanctions since its inception till today and crippled it's economy while sympathizing south korea through investment, technology sharing and military.  You didn't mentioned this.
 South korea didn't developed on its own. In early stages, south korea even couldn't form a stable govt and had poor economy ,unlike North whose politics was stable and economy flourished."
UgwPB7r6-iEI-neQllN4AaABAg,I mean the first president of South Korea was... STRONG AMERICA LOVER... He wanted to nuke the peninsula to kill the communists lol.
UgwPB7r6-iEI-neQllN4AaABAg.9hanAR4dsGf9hap8IFVoQh,South Korea didn't even signitured in the ceasefire declaration.
Ugzfk7M6_5ii4nFaEYF4AaABAg,"As a Californian, I miss trump man, we felt so much safer here knowing these two nations were finally having a moment of peace. The world didn’t want that, and deep state didn’t either  I guess. I’m sure North Koreans felt the same level of security at the time."
Ugzfk7M6_5ii4nFaEYF4AaABAg.9hamrK3051K9hap9yHpefU,"*Thanks for watching this, send a direct  message to our Telegram channel right away I will love to hear your thoughts on it and for more enlightenment☝️❤️**"
UgzAG54LS0udCBeKHUB4AaABAg,It might be war between us and n korea but unfortunately battle field will be s korea
UgzAG54LS0udCBeKHUB4AaABAg.9hal-cIGOFV9hapBhcuRZt,"*Thanks for watching this, send a direct  message to our Telegram channel right away I will love to hear your thoughts on it and for more enlightenment☝️❤️**"
UgzL8OdUPHJAyAh0PKV4AaABAg,How long must Korea remain divided how long must these people suffer starvation genocide fear and isolation from freedom and prosperity 😢
Ugwl7bRshSt7DQdlyih4AaABAg,"bro you're propaganda, your profile picture and these titles show it"
Ugwl7bRshSt7DQdlyih4AaABAg.9hack_ovBTs9hapCjFP_VS,"*Thanks for watching this, send a direct  message to our Telegram channel right away I will love to hear your thoughts on it and for more enlightenment☝️❤️**"
UgxL9rS2F5gjMtbprtN4AaABAg,"But the real question is, do North Korea like Subways too?"
Ugwib55diKL0osTTfhp4AaABAg,"The sad part is, the Commies thought they could get away with it. That's the problem with Communism or any variation of it, they're never satisfied with what they got & want more."
Ugwib55diKL0osTTfhp4AaABAg.9haaglHWrlj9hapE5kVKl5,"*Thanks for watching this, send a direct  message to our Telegram channel right away I will love to hear your thoughts on it and for more enlightenment☝️❤️**"
UgyfSTONMT5bNJRQmAh4AaABAg,K Pop is a N Korean psyop to weaken the male fighting-age population of S Korea.
UgyfSTONMT5bNJRQmAh4AaABAg.9haa0xuOU7B9hapJIl_JeZ,"*Thanks for watching this, send a direct  message to our Telegram channel right away I will love to hear your thoughts on it and for more enlightenment☝️❤️**"
Ugw5_exfKJKhhJ-_rIB4AaABAg,I was skeptical about this video in terms of depth that Johnny can get into but pleasantly surprised. Good job Johnny!
