id,comment
UgwHdSTZY8xE5aVlAqd4AaABAg,와!
UgxRie6QRFcsgFezp3V4AaABAg,カッコよすぎ
UgyGdazwKnDxTSXc5nl4AaABAg,"Oh, my neurons activated."
UgzV9bHBXMLRIM952gZ4AaABAg,Ok......who woke up the Slumbering Chaos?
UgxETRgNBgjiLfsCT3p4AaABAg,this is making me feel some typa way man
UgyITg4O9RSuirHzEvt4AaABAg,怕，不過這樣的Bad真酷😍😍
UgzuvFpawk36-tdCZYJ4AaABAg,My favorite Shimon song sung by Bae... How beautiful. 😭👌
Ugz_yn24Os1QvOXjj4F4AaABAg,"Jesus Bae has an insane vocal range, this was just chef's kiss. What a banger cover"
UgwDuTpNvXsU-ILCthB4AaABAg,This was insane!
Ugy-n453v_AzrPv9jbh4AaABAg,Офигенно
UgzA9V1-eMPbV6bnPW54AaABAg,This is incredible. Caught the premier and literally had it on repeat whenever i get a chance since then. More deep voice Bae please!
UgzPrIsp2OKdSWTNX8d4AaABAg,"This is such a great cover, always fun to see Bae show off her range and what a cool song to do it in! "
UgzXAF9qjr4Y7K--12Z4AaABAg,Dayum!!
UgxklEBRbUAcnm73NoB4AaABAg,That laugh at the end... made my skin crawl
UgwwCVxY_C9_Su4lpGZ4AaABAg,不好意思，我心中都是Hako太郎跟萌萌蘿莉
UgyYdLQrSZopS1lMk_94AaABAg,"Dang Bae, you killed it again!"
UgyNfh6LzuF_qHkjVjh4AaABAg,"If you change the playback speed to 1.5, feel like bae is raping and it's so cool!🔥🔥"
UgwXeLuIUsEo9BBzWc94AaABAg,"1:50
Pure chaos 👁️👄👁️ 
imagine someone singing out this part loud in your house"
UgwhN8IhCRfJ_Yy_MbR4AaABAg,wtf is going on
UgxQzL6NYS_dmkDYLwR4AaABAg,"Who have a nightmare after listening this song?









活该啦hahahahahahahahahaha(you don't need to know the meaning)"
UgwWu02kmZOmXeTQFEZ4AaABAg,WOW BAE'S DEEP VOICE IS SO.... Y'KNOW..... 🚶‍♀️🧎‍♀️🪑
UgxfU65j3CQwRSPo48B4AaABAg,好き
UgwE8XLFTBDru7TzTKN4AaABAg,怖いけどカッコいい‼️
Ugx1-9zjFkgw4evfIaF4AaABAg,UUUUUUUOOOOOOOOOOOOHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
Ugx1-9zjFkgw4evfIaF4AaABAg.9har0tuvaOu9hayz-zJg4p,Takeshi!!!!!
UgwZP5uPygRMw1S8l_p4AaABAg,Wait what!?
UgyAqn4gh2DHXU10A2Z4AaABAg,Bae's got me feelin things with this cover ohmagawd
UgzdM_culc73xKXoW-t4AaABAg,Epic
UgwRg_4mngPeJfRbto94AaABAg,Honestly this is so well sung it's quite possibly my favorite hololive song
UgwN8e5Dsf6dNTTbgjx4AaABAg,"actual chills, am now deceased, thank you bae"
UgzmBrFn7pFr8qCWm9R4AaABAg,Somebody gimmie the art plz
UgwvjdK15lnLDymF5Jt4AaABAg,Im gonna die this is so good omg
UgxkO_5suE4czFVbuuF4AaABAg,Hot damn. I can't believe I missed this release cause I promised to touch grass😭 that vocal range and control was amazing 😍
Ugx7kmnfsBTvLFhJU-54AaABAg,I'm so addicted to the part where she uses vocal fry! I can't stop repeating this just to hear it. Bae's vocal range is magical man
UgwSXZF6mvWR4svNTgd4AaABAg,😍😍😍💘
UgzHcv0qhgRpNYr5TUp4AaABAg,"First time listening: pretty good
Second time: okay this is slaps 
Third time listening to it: hell yeah




After that: URUSAI NAAA"
UgxZKoIakVb7pH-oIs54AaABAg,"BAE SHOULD JUST GET SPONSORED BY UBER EATS!

CAUSE SHE KEEPS DELIVERING !!!!"
UgzuA16tf15POptjK7t4AaABAg,Amazing!
Ugw9NYxEAPe2F5Qli6N4AaABAg,The Bae who laughs
UgzJNqOK_N_q1ija-5N4AaABAg,"Goddamn, Bae’s vocal range is crazy 😳"
UgyFV4UNdwxEMEb4jAJ4AaABAg,❤❤❤❤❤❤
UgwOCPihNg8wsnFE1wN4AaABAg,…..🤰
UgwfYo5_kM2-q1qrBgB4AaABAg,SICK ART AND VOCALS HOLYYYYY!!!!!!
UgzqZgFe6Xs2r00yvX14AaABAg,"happy upcomming holloween little mouse, council and myth. Cant wait to see what Hololive community has to show for this year."
Ugy5G2jkhkD79cLLYCt4AaABAg,Bae's deep voice + rap = finally chaos awaken
Ugx4z9FA2X-pCryPX694AaABAg,"OH MAH GAH, Bae's deep voice struck this hella good, i might have a new favorite song as well~
Boy the MV is sick, loved it, thanks for the new song Bae ♥"
UgxiIDE1cDsp-EGUtPB4AaABAg,Excuse me ma'am 😳 you can't just be singing like this without warning.
UgxRbiu4VCoa6Gkt_Y94AaABAg,awesome cover Bae! amazing voice as usual
Ugxfdb8xo4GjZsLycJR4AaABAg,"Once again, can’t wait to see you dance to it. Sounds like it’s just your style."
UgzhsrjeLMVuskeAvRJ4AaABAg,Absolutely KILLING it Bae!
UgxXQtaFaEl8pDlppll4AaABAg,"that ""strange"" intro gives me chills every time i put this on repeat"
UgxjrHSpx35xzKWKzaR4AaABAg,Is Bae chaos form reference from rats that being carrier for Black Death?
UgwJcgah7vdQCxfsGBZ4AaABAg,man... is it weird that i want bae to step on me?
UgzjDcGPgmCIwNLBQfJ4AaABAg,100k 🎉
UgwT8wxwAAbNKwvhDjd4AaABAg,The true chaos inside bae is woke up
UgxZGGf0YTvmZ7ePD_t4AaABAg,This music is just insane so BOP!
UgwGBGCtGXjXBvzGhqx4AaABAg,i am a homosexual
UgxTrQExSfz6TOWflRB4AaABAg,Bae singing in her Irys voice lmao beautiful
UgzMtVTZ2_QR-6R35_V4AaABAg,Mumei ?
Ugwy_yCjz-Knd_b-SdR4AaABAg,WHAT A BANGER
Ugwy_yCjz-Knd_b-SdR4AaABAg.9hZHYF1IkNF9hbJpVhsR4v,"Same as your aishite x3 MV also
Really cool !"
Ugwy_yCjz-Knd_b-SdR4AaABAg.9hZHYF1IkNF9havsG5DJpa,Yeah what a banger indeed 🔥🤟😎
Ugwy_yCjz-Knd_b-SdR4AaABAg.9hZHYF1IkNF9hapa6d3UuQ,Hello Zeta
Ugx_KJDidJsDyk6tr-V4AaABAg,Urusaina hits hard
Ugyl3Pz-KZEHCZvzl3J4AaABAg,LETS FREAKIN GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥
UgwhkcmbTAsXlOxgGRh4AaABAg,🤯🤯🤯
Ugyaxr66lt9RVaQwxuB4AaABAg,숫자 256
UgxFLmEPDklbT7ifghJ4AaABAg,めちゃくちゃかっこいいやん
Ugxzfv_lB5jJnU0Rd714AaABAg,"I AM SILENT, MA'AM!"
Ugw_7Z6r7ux3IOQ1be54AaABAg,"Ha""ghoul""s Baelz"
UgwemivFzC8Ho8Bd3P54AaABAg,"OMG.......it's completley out of my exepectation...well I already expected that her singing would be awesome....but wow...
If someone asks who do you love the most..I'll say Bae...♥💕♥🐭
((I know I'm being extra...but this is the amount of what I got impressed by her awesome low-key voice♡♡))"
UgwoP082L0NLbpaFQYZ4AaABAg,Ratlord more like RAPLORD
Ugx57HGhSIx2bBtQVsR4AaABAg,"Bae in her pure chaotic energy but became Seiso and Cute after she met Irys
Thank you for the cover. love your voice!"
Ugx6-EylwfJt8RbeE4l4AaABAg,Bea using her deep voice is like two completely different people and I love it
Ugw8J5tqA8XVuKtdWLF4AaABAg,Ah I thought it was Killing strangers xD
UgwO9SyKve7w2iU1uKl4AaABAg,"I think this is one of those songs that you hear, and then after you walk around for a week going ""urusai na"" you realize how much it has stuck on you. Such a good cover Bae!"
UgzthV9wSHCVLc2fF314AaABAg,"Chain Chomp mouths are the best kind of mouth. 

Also great song! I like when you use a deeper voice."
UgzsnHxJ-LGeOWDdYdV4AaABAg,"This song also gives me chills, and that is what I love about it, great work Bae🤘"
UgxK_hqtsyQYU_h2QaF4AaABAg,"This imagery makes me realize on why there is not really much horror games based on the Council members, because of their concepts, there is a lot of potential and this imagery kind of proves it XD"
Ugz6ck8lXc8XlHfIlBp4AaABAg,えっちすぎて無理
UgwXN8VW7eUg4zySybp4AaABAg,Can you put this song on spotify?
UgwXN8VW7eUg4zySybp4AaABAg.9hYd4oXD7zm9hZEmgIWDRc,cover song cannot put on spotify as this song is not hers
UgzVFXK4GGJZcX62Rrd4AaABAg,deep voice is amazing
Ugy4NTSkT1X_s7T33Et4AaABAg,"An amazing cover of one of my favorite vocaloid songs ever, instantly became my favorite hololive cover of all time, love it SO MUCH!"
UgzBGSM9lUQQE0mqe3x4AaABAg,i'm alive but i'm ded
UgxAYxgEsrl-QWaogSR4AaABAg,thank you for this amazing cover bae! can never get enough of your deep voice
UgxO-wGHScHH_G9c2fd4AaABAg,I love Bae and this song... But the illustration reminds me Japanese dark website T_T
UgxA6bkA-uSXET_E1jp4AaABAg,"If someone told me thats Bae i woulnt believe it ahah
Thats a very sensual coming from our lovable but bratty Rat.
Very skilled indeed <3"
UgzfvXgfDkbuNfMvXbF4AaABAg,"Wao, love her voice!!!
Rat during 1300's be like"
Ugyn24jzZQfkVWes0Ip4AaABAg,It’s hard to believe this is the same rat streamer I subbed to
Ugzf8oO61ApsabFmunl4AaABAg,Chaotic Evil Bae is making me feel things. I think the term is scaroused
UgwVjuEe0OMUH9nQc6l4AaABAg,👍
Ugy5KZr618MkU82TKSh4AaABAg,"The Great Horned Rat approves!  For CHAOS!

I really enjoyed your cover, Bae!  Killin' it with your vocals!"
Ugy6J6p14iZvCqEHcVp4AaABAg,Badass Bae <3
UgyzI83cyD7FrvT9Hrh4AaABAg,"Going from the Smol Bae Show and Tell stream to this was a trip. Good job, Bae! Perfect for Halloween week!"
UgzBAyWSdtNkpsbXvyx4AaABAg,god damn bae like wow i'm sweating
UgzZK55MzXHaRDupxUV4AaABAg,I kneel to the rat god
Ugym-0gkRGh2-mG3j9R4AaABAg,"So f-ing good, you did magic with your voice in this cover🔥
Thank you Bae."
UgyNuXcb1BYTl7hvDcZ4AaABAg,pretty damn nice
UgzDu9oQgQMy37Wv6b14AaABAg,選曲がコアでいいw
UgwRsT63G3N1gW681GN4AaABAg,i want an edgy black model for Bae like this now
UgxLfakfagPSnUtX4B14AaABAg,My god this is amazing
UgykcHCEpiRI7Oa0De14AaABAg,urusai na
Ugz3ApHJM-VL1xNtus54AaABAg,かっこいい！！上手い！凄い！！(語彙力）
UgzXhKQteSPtwysyP-Z4AaABAg,this song was great!! goosebumps at the last laugh! amazing vocals!
UgwvheFLYKudb09boVt4AaABAg,"This MV was so spooky, I almost didn't notice that Bae had a visible, lacy, black bra.

Fanartists, take notes."
UgzcG-fZQvESiKLjn2t4AaABAg,Can you get edgier than that?
UgzEr2yARLUwrUtgmrp4AaABAg,Strong Ozen vibes
UgwFZUyv8kvT375Jilt4AaABAg,They don’t call her the god of chaos for nothing.
Ugz_Hw3x3gWn7yiXuiV4AaABAg,Uh... It's not Halloween yet Bae 🤣 🎃
UgyDdWZWBY0tT2kuFTV4AaABAg,sick
