id,comment,score
UgziME4gUOrukU_PTjl4AaABAg,Bro can you give one free mobile for me please please please please please please please please please please please please please,100.0
Ugx-O1b7Yw0-c7r9fjR4AaABAg,Please subscribe,99.68
Ugy1tIOA5H2tdxPSVSd4AaABAg,"This is so sick 



















please be a good phone please be a good phone please be a good phone please be a good phone please be a good phone please be a good phone please be a good phone please be a good phone please be a good phone",99.64
UgzaGokUr2u4OrtOiVd4AaABAg,Please gift me please,99.63
UgwG-ZH8AKygFWs9ueB4AaABAg,Please please please add some background music ,99.56
Ugwnb-__FwX2yBMRxr54AaABAg.9cbumFgM6FB9cbxUvIit5x, for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.48
UgzMmAeqSMsTeiLlmBt4AaABAg.9cbwxglyEYK9cbx59Vjs9b, for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.48
UgyqZtcNjq3U6vTkpkt4AaABAg.9cbwW-DSCPB9cbx2ItpVs-, for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.48
Ugxp1LX5lEn_sGcmUb14AaABAg.9cbw6DqBYCy9cbxHQLDTBo, for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.48
Ugw2mBH1pX-gfF1BZoB4AaABAg.9cbw1wR4xpC9cbxJF92HOq, for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.48
UgxgXBjFAOTR1m288Y14AaABAg.9cbvLUjepGh9cbxO4W5X5k, for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.48
Ugw1Dsd5MXxklLyq4S54AaABAg.9cbv0KtgW_H9cbxSTphRna, for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.48
UgxmgKKYN5UWj7xmP2l4AaABAg.9cbwrqjmDaR9cbxB8KJsk9, for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.48
UgxgGTCat8nXu1mv0MJ4AaABAg.9cbtGz_zM7K9cbxZxq-0iZ, for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.48
Ugxxl-C0p33jw07ldBJ4AaABAg.9cagoog1DJ-9cai2tZnmYv,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only,99.39
UgyD72Hz_aCEiL1oCJd4AaABAg.9caniwfBk3J9caslDWGYOn,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
UgzneF95mUa0-qC_5zV4AaABAg.9cao76yfNM-9cashCy3APU,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
UgydCWtdFGWE-mG88Dt4AaABAg.9capLMWDmLL9cas5GHjZOt,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
UgzWzrsyCzUZYTuLT3h4AaABAg.9capgNlEGrh9cas3QfX75I,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
Ugyg8riT9BK5AwjjxdN4AaABAg.9capriLDxBC9carzzrn3Ne,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
UgwGITcBu-oWXECXN-N4AaABAg.9caitVAhUNh9cajwAms-3z,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only.,99.39
UgytfALoZJX9SYzCNsZ4AaABAg.9cahbmYLl_n9cai12Fevqz,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only,99.39
Ugz2VkH0r1yz2iDfYuV4AaABAg.9cajAGhAKWP9cajtZfBY2u,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only.,99.39
UgxLWptRPl-gV6dQ16R4AaABAg.9canZOR9ngp9casn6d7CZv,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
UgwfNa5e2NA1vn7iwg54AaABAg.9camC6kPLSV9casquCFdOu,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
UgzqIf3iPmnhXEej9QV4AaABAg.9cam7YM8AZ09cassj-7ddn,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
Ugzgrd_HkMg_37HVxfN4AaABAg.9calqd6DQoe9casvGl5w0N,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
Ugx61LwDHRKxxZ1zQnt4AaABAg.9calnfh_i5X9casxK1BrNG,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
Ugwi5RjLgFX11GAmaKB4AaABAg.9caliqbmixU9casztQ8h9g,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
UgwxKot9Lep1Znt0L8d4AaABAg.9cal5EuqAQG9camWkmFR6X,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only..,99.39
UgyZ_Qrmndk0Ft5VOah4AaABAg.9cak_Jcwo-N9camgLICu5W,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only..,99.39
UgwG1kGNm6-xYkkqbaB4AaABAg.9cajonN3Bz59cak-p9qKt6,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only.,99.39
UgwHVsz_0vM9OMI-9Jx4AaABAg.9caja1JgaBX9cak3kiZ0wu,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only.,99.39
Ugxs8MWXIntDkgP_Wzl4AaABAg.9cajXZOSLzQ9cajmuRLniN,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only.,99.39
Ugw9nfR8bY8ybvtGzUB4AaABAg.9cajKNMX01t9cajqXN0833,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only.,99.39
UgwpE_QtRF4rS-ZK4id4AaABAg.9cajGBehuta9cak7YgzUN4,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only.,99.39
Ugy7q3_xjZafhygnSoB4AaABAg.9ccGZ803Uo_9ccGn85H-YD,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
Ugx1L_E0naNiFmHLq9l4AaABAg.9cambRVyiBp9casoqR-nxM,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
Ugx321M5ziZ3QwvlYOp4AaABAg.9caq0fUt5zd9cas0nV3I2q,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
UgxFc1oeTiQUXubvor54AaABAg.9ccFePaZ1bG9ccGQdple29,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
UgwlyTqODKFeo3YGAPx4AaABAg.9ccGtQNm-F_9ccH8dYJjsV,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
UgwznoIfOabCHWGi4vV4AaABAg.9ccGz-mM-u39ccH6GIMddr,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
Ugwbhcvqbj6SUGnCER54AaABAg.9ccH1v6ZRcZ9ccH3VD4SNF,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
UgxRe57BeGZg39MFcR94AaABAg.9ccH5vhw38r9ccHDrpUrsr,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
UgzAQiJKgyfDTohYgWF4AaABAg.9ccHEi8ZGrA9ccHIXDpv3M,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
UgydhVVVZVCHSVen-al4AaABAg.9ccGSsSjiNl9ccGq0IAz3Q,Thanks for watching and leaving a comment  you have been selected as a winner Dm me to claim your prize on nicegram only ,99.39
